School_x,business_school,Acceptance Rate,Average Salary,Public(0) or Private(1),Reputation Score,Alumni,Tuition_Fees_17&18,Distance to Nearest City (Miles)
Syracuse University (Whitman),Whitman,0.381,59371,1,3.4,30000.0,46755.0,194.539676
University of Massachusetts-Amherst (Isenberg),Isenberg,0.306,57782,0,3.4,48000.0,24444.0,75.4055129
University of Utah (Eccles),Eccles,0.408,51478,0,3.5,37000.0,18505.5,363.630499
American University (Kogod),Kogod,0.316,58670,1,,128000.0,46615.0,3.43860933
Ohio State University (Fisher),Fisher,0.386,54740,0,4.0,80000.0,20144.0,3.351521646
Pennsylvania State University (Smeal),Smeal,0.37,60046,0,3.8,88000.0,19441.0,154.1461869
University of Denver (Daniels),Daniels,0.463,50975,1,,40000.0,48669.0,4.649337509
Texas Christian University (Neeley),Neeley,0.4656,60719,1,,,44760.0,3.586109811
University of Kentucky (Gatton),Gatton,0.6979,49175,0,3.3,300000.0,19994.0,69.75214216
Purdue University (Krannert),Krannert,0.62,57473,0,3.8,40000.0,14167.5,60.19022097
Rensselaer Polytechnic Institute (Lally),Lally,0.42,67200,1,3.2,,52305.0,140.3654033
Michigan State University (Broad),Broad,0.3219,58706,0,3.8,80000.0,27699.5,77.80726797
Santa Clara University (Leavey),Leavey,0.435,59333,1,3.3,140000.0,49858.0,2.945131716
Miami University (Farmer),Farmer,0.626,59540,0,3.3,40000.0,10879.5,78.35694293
St. John's University (Tobin),Tobin,0.59,59146,1,,,40197.0,11.19867639
Seton Hall University (Stillman),Stillman,0.576,59451,1,,20000.0,40588.0,12.7275698
University of Texas-Dallas (Jindal),Jindal,0.6,58100,0,3.3,50000.0,20592.0,14.68604564
Rutgers Business School (Newark),Newark,0.55,54211,0,,43000.0,22608.5,26.25287739
University of Tennessee-Knoxville (Haslam),Haslam,0.85,50446,0,3.5,,22180.0,160.3633061
St. Thomas University (Opus),Opus,0.83,48000,1,,34000.0,29730.0,0.641885018
Drexel University (LeBow),LeBow,0.74,57185,1,,40000.0,52002.0,1.284027973
Elon University (Love),Love,0.721,52299,1,,,34273.0,96.6636368
University of Oklahoma (Price),Price,0.6177,53134,0,3.4,33100.0,16753.5,18.31665164
Rochester Institute of Technology (Saunders),Saunders,0.721,51273,1,3.3,25000.0,40068.0,250.1458627
University of Arizona (Eller),Eller,0.79,54041,0,3.7,55000.0,22026.5,105.7869926
University of New Hampshire (Paul),Paul,0.641,50420,0,,19000.0,25352.0,54.01492346
Texas Tech University (Rawls),Rawls,0.764,53473,0,,53000.0,13756.0,269.8005968
Evansville University (Schroeder),Schroeder,0.886,50537,1,,,35396.0,98.54174344
Villanova University,Villanova,0.2207,63709,1,3.4,130000.0,51284.0,11.10745487
Wake Forest University,Wake Forest,0.248,68300,1,3.6,72452.0,51400.0,70.33159298
Northeastern University (D'Amore-McKim),D'Amore-McKim,0.1868,66101,1,3.4,56000.0,49497.0,2.064331224
