school,acceptance_rate,average_salary,public_private,reputation_score,alumni,tuition_fees,distance_nearest_city
University of Houston (Bauer),0.2518,54144,0,3.2,48000.0,15886.0,3.199364932
Rutgers Business School (New Brunswick),0.46,60228,0,3.2,43000.0,22608.5,26.25287739
Texas A&M University (Mays),0.3407,57286,0,3.8,48000.0,23077.0,83.00604542
Syracuse University (Whitman),0.381,59371,1,3.4,30000.0,46755.0,194.539676
University of Massachusetts-Amherst (Isenberg),0.306,57782,0,3.4,48000.0,24444.0,75.4055129
University of Utah (Eccles),0.408,51478,0,3.5,37000.0,18505.5,363.630499
American University (Kogod),0.316,58670,1,3.6,128000.0,46615.0,3.43860933
Ohio State University (Fisher),0.386,54740,0,4.0,80000.0,20144.0,3.351521646
Pennsylvania State University (Smeal),0.37,60046,0,3.8,88000.0,19441.0,154.1461869
University of Denver (Daniels),0.463,50975,1,3.4,40000.0,48669.0,4.649337509
Texas Christian University (Neeley),0.4656,60719,1,3.7,48000.0,44760.0,3.586109811
University of Kentucky (Gatton),0.6979,49175,0,3.3,300000.0,19994.0,69.75214216
Purdue University (Krannert),0.62,57473,0,3.8,40000.0,14167.5,60.19022097
Rensselaer Polytechnic Institute (Lally),0.42,67200,1,3.2,48000.0,52305.0,140.3654033
Michigan State University (Broad),0.3219,58706,0,3.8,80000.0,27699.5,77.80726797
Santa Clara University (Leavey),0.435,59333,1,3.3,140000.0,49858.0,2.945131716
Miami University (Farmer),0.626,59540,0,3.3,40000.0,10879.5,78.35694293
St. John's University (Tobin),0.59,59146,1,3.6,48000.0,40197.0,11.19867639
Seton Hall University (Stillman),0.576,59451,1,3.6,20000.0,40588.0,12.7275698
University of Texas-Dallas (Jindal),0.6,58100,0,3.3,50000.0,20592.0,14.68604564
Rutgers Business School (Newark),0.55,54211,0,3.5,43000.0,22608.5,26.25287739
University of Tennessee-Knoxville (Haslam),0.85,50446,0,3.5,48000.0,22180.0,160.3633061
St. Thomas University (Opus),0.83,48000,1,3.2,34000.0,29730.0,0.641885018
Drexel University (LeBow),0.74,57185,1,3.6,40000.0,52002.0,1.284027973
Elon University (Love),0.721,52299,1,3.4,48000.0,34273.0,96.6636368
University of Oklahoma (Price),0.6177,53134,0,3.4,33100.0,16753.5,18.31665164
Rochester Institute of Technology (Saunders),0.721,51273,1,3.3,25000.0,40068.0,250.1458627
University of Arizona (Eller),0.79,54041,0,3.7,55000.0,22026.5,105.7869926
University of New Hampshire (Paul),0.641,50420,0,3.3,19000.0,25352.0,54.01492346
Texas Tech University (Rawls),0.764,53473,0,3.4,53000.0,13756.0,269.8005968
Evansville University (Schroeder),0.886,50537,1,3.3,48000.0,35396.0,98.54174344
Villanova University,0.2207,63709,1,3.4,130000.0,51284.0,11.10745487
Wake Forest University,0.248,68300,1,3.6,72452.0,51400.0,70.33159298
Northeastern University (D'Amore-McKim),0.1868,66101,1,3.4,56000.0,49497.0,2.064331224
University of Wisconsin-Madison,0.35,58603,0,4.0,45593.0,22658.0,75.62922141
Lehigh University,0.2239,66598,1,3.2,80000.0,50740.0,46.38625068
University of Illinois at Champaign-Urbana (Gies),0.4898,63079,0,3.8,70000.0,26006.0,112.3398788
University of Pittsburgh,0.44,54370,0,3.6,48000.0,24861.0,256.0068537
Hult International Business School,0.5,34708,1,2.8,48000.0,38584.0,0.984505292
University of San Diego,0.53,57119,1,3.6,70000.0,47708.0,4.191835257
Christopher Newport University,0.746,48000,0,3.2,48000.0,19752.0,130.5354787
Providence College,0.51,57174,1,3.6,48000.0,48764.0,40.55553764
James Madison University,0.6831,58257,0,3.6,48000.0,19030.0,104.2818421
University of Akron,0.7399,42651,0,3.1,25000.0,14535.5,109.7508087
Florida Southern College,0.5,43366,1,3.1,48000.0,34774.0,159.3775249
Lipscomb University,0.61,46875,1,3.2,48000.0,30932.0,4.057080864
University of North Carolina-Wilmington,0.61,44507,0,3.1,89500.0,14032.5,182.8347571
Ithaca College,0.8018,50649,1,3.3,61000.0,42884.0,174.8646125
Northern Illinois University,0.5384,51120,0,3.4,50000.0,19058.0,58.85659217
University of Michigan-Dearborn,0.62,49507,0,3.3,575000.0,18754.0,9.594291847
Duquesne University (Palumbo-Donahue),0.76,50592,1,3.3,48000.0,14825.0,72.27533867
Bowling Green State University,0.7,53300,0,3.4,31000.0,48484.0,328.7103074
University of Miami,0.3044,60801,1,3.4,40000.0,36332.0,339.4025534
Brigham Young University (Marriott),0.6316,55148,1,3.6,63000.0,21863.5,29.89049058
The College of New Jersey,0.41,58000,0,3.6,80000.0,21912.0,85.62486297
University of South Carolina (Darla Moore),0.651,61946,0,3.6,48000.0,23155.0,36.64928045
University of Delaware (Lerner),0.464,54087,0,3.5,34400.0,18146.5,335.2036801
University of Missouri-Columbia (Trulaske),0.6917,48827,0,3.2,32000.0,42166.0,232.2098889
St. Louis University (Chaifetz),0.8303,63333,1,3.8,25625.0,39820.0,53.21461039
Sacred Heart University (Jack Welch),0.608,54784,1,3.5,48000.0,36394.0,257.6815621
