School_x,business_school,Acceptance Rate,Average Salary,Public(0) or Private(1),Alumni,
University of Pittsburgh,Pittsburgh,0.44,54370,0,,
Hult International Business School,Hult International,0.5,34708,1,,
University of San Diego,San Diego,0.53,57119,1,70000,
Christopher Newport University,Christopher Newport,0.746,48000,0,,
Providence College,Providence,0.51,57174,1,,
James Madison University,James Madison,0.6831,58257,0,,
University of Akron,Akron,0.7399,42651,0,25000,https://www.uakron.edu/cba/about-us/alumni/
Florida Southern College,Florida Southern,0.5,43366,1,,
Lipscomb University,Lipscomb,0.61,46875,1,,
University of North Carolina-Wilmington,North Carolina-Wilmington,0.61,44507,0,89500,https://alumni.uncw.edu/
Ithaca College,Ithaca,0.8018,50649,1,61000,https://www.ithaca.edu/admission/undergraduate-admission/discover/ithaca-college-glance
Northern Illinois University,Northern Illinois,0.5384,51120,0,50000,https://www.cob.niu.edu/_pdf/alumni/newsletter.pdf
University of Michigan-Dearborn,Michigan-Dearborn,0.62,49507,0,575000,https://umdearborn.edu/cob/alumni-friends
Duquesne University (Palumbo-Donahue),Palumbo-Donahue,0.76,50592,1,,
Bowling Green State University,Bowling Green,0.7,53300,0,31000,https://www.bgsu.edu/business/alumni.html
University of Miami,Miami,0.3044,60801,1,40000,https://herbert.miami.edu/alumni/news.html
Brigham Young University (Marriott),Marriott,0.6316,55148,1,63000,https://marriott.byu.edu/news/fact/
The College of New Jersey,TCNJ,0.41,58000,0,80000,https://alumni.tcnj.edu/
University of South Carolina (Darla Moore),Darla Moore,0.651,61946,0,48000,https://sc.edu/study/colleges_schools/moore/alumni_giving/alumni/connect_alumni/index.php
University of Delaware (Lerner),Lerner,0.464,54087,0,34400,https://lerner.udel.edu/lerner-alumni/
University of Missouri-Columbia (Trulaske),Trulaske,0.6917,48827,0,32000,https://business.missouri.edu/alumni
St. Louis University (Chaifetz),Chaifetz,0.8303,63333,1,25625,https://www.slu.edu/business/about/index.php
Sacred Heart University (Jack Welch),Jack Welch,0.608,54784,1,,
